,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25
USAttorney,4,judicial,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,,,,,,,,,,,,,,,,,,,,0.05970149253731343,,,,,
vote,4,election,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,1.0,,,,,0.004830917874396135,,,,,,,0.010309278350515464,,,,,,,,,,0.018691588785046728,,,,
microsoft,4,economy,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,,,,,,,0.10256410256410256,,,,,,,,,,,,,,,,,,
russianIntelligence,4,russiaElectionInterference,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,0.0149812734082397,,,,,,,,,,,,,,,,,,,,,,,,
USOfficial,4,government,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,0.0149812734082397,,,,,,,,,,,,,,,,,,,,,,,,
politicalMailer,4,controversy,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,0.06153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,
intelligence,4,intelligence,2,0.002007024586051179,1.1139433523068367,0.002235711695548092,1.0,,0.011235955056179775,,,,,,,,,,,,0.01020408163265306,,,,,,,,,,,,
politician,4,government,4,0.002007024586051179,0.8129133566428556,0.0016315370931116017,1.0,,0.003745318352059925,,,,,,0.02564102564102564,,,,0.010309278350515464,,,,,,,,,,,0.01639344262295082,,,
democracy,4,government,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,1.0,,0.003745318352059925,,0.012987012987012988,,,,,,,,,,,0.017241379310344827,,,,,,,,,,,
poll,4,opinionPolls,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,1.0,0.015384615384615385,,,,,,0.027777777777777776,,,,,,,,,,,,,,,0.018691588785046728,,,,
new hampshire,4,unitedStates,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.04040404040404041,
senate,4,government,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,1.0,,0.00749063670411985,,,0.004830917874396135,,,,,,,,,,,,,,,,,,,,0.010101010101010102,
jeffSessions,4,trumpStaff,4,0.002007024586051179,0.8129133566428556,0.0016315370931116017,1.0,,,,,,,,,,,0.037037037037037035,,,0.01020408163265306,0.008620689655172414,,,,,,0.014925373134328358,,,,,
unitedStates,4,unitedStates,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,1.0,,,,,,,,,,0.022222222222222223,,,,,,,,,,,0.014925373134328358,,,0.023809523809523808,,
elizabethWarren,4,democrat,2,0.002007024586051179,1.1139433523068367,0.002235711695548092,1.0,,,,,,,,,,,,,,,,,,0.016666666666666666,,,,,,,0.030303030303030304,
campaign manager,4,election,2,0.002007024586051179,1.1139433523068367,0.002235711695548092,1.0,,0.011235955056179775,,,,,,,,,,0.010309278350515464,,,,,,,,,,,,,,
brittanieMountz,4,civilRights,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,,,,,,,,,,,0.041237113402061855,,,,,,,,,,,,,,
pac,4,election,4,0.002007024586051179,0.8129133566428556,0.0016315370931116017,1.0,0.015384615384615385,0.003745318352059925,,,,,,,,0.022222222222222223,,,,,0.008620689655172414,,,,,,,,,,,
antonioVillaraigosa,4,democrat,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,,,,,,,,,,,0.041237113402061855,,,,,,,,,,,,,,
constitution,4,judicial,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,
